timestamp,city,pm25,pm10,no,no2,so2,nh3,co,o3,hour,day_of_week,month,season,city_season,is_weekend,pm25_24h_avg,pm10_24h_avg,aqi_category,split,is_anomaly,source_label,source_confidence,pollutant_signature
2021-08-26 09:00:00,Islamabad,99.2,244.46,0.53,6.17,15.5,8.74,620.84,178.81,9,3,8,Summer,Islamabad_Summer,0,89.60125,140.78666666666666,Moderate,train,1,unclassified,0.0,Highest z-score: SO2 (0.0σ)
2021-08-26 10:00:00,Islamabad,102.02,262.49,0.56,7.2,15.14,9.12,607.49,175.95,10,3,8,Summer,Islamabad_Summer,0,90.63041666666663,147.55208333333334,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (-0.0σ)
2021-08-26 12:00:00,Islamabad,106.13,285.84,0.5,13.2,16.45,10.01,674.25,157.36,12,3,8,Summer,Islamabad_Summer,0,92.93958333333336,162.40166666666667,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.1σ)
2021-08-26 13:00:00,Islamabad,105.05,283.1,0.32,30.16,16.21,11.65,947.95,125.89,13,3,8,Summer,Islamabad_Summer,0,93.86333333333332,169.50208333333333,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.1σ)
2021-08-26 15:00:00,Islamabad,101.39,272.49,0.0,30.85,10.13,14.44,1121.52,95.84,15,3,8,Summer,Islamabad_Summer,0,93.92333333333332,181.2058333333333,Unhealthy,train,1,unclassified,0.0,Highest z-score: NH3 (-0.3σ)
2021-08-27 05:00:00,Islamabad,87.66,225.55,2.65,23.31,30.52,10.01,961.3,154.5,5,4,8,Summer,Islamabad_Summer,0,89.37541666666668,206.10875,Moderate,train,1,industrial,0.074,High SO₂ (1.4σ)
2021-08-27 06:00:00,Islamabad,100.68,248.29,1.84,19.19,41.96,10.01,988.01,217.44,6,4,8,Summer,Islamabad_Summer,0,89.56916666666666,208.7683333333333,Unhealthy,train,1,industrial,0.428,High SO₂ (2.5σ)
2021-08-27 07:00:00,Islamabad,112.2,292.58,0.78,9.51,32.42,8.23,727.65,237.47,7,4,8,Summer,Islamabad_Summer,0,90.20541666666668,212.4808333333333,Unhealthy,train,1,industrial,0.133,High SO₂ (1.6σ)
2021-08-27 08:00:00,Islamabad,115.34,319.23,0.54,7.2,22.65,7.6,587.46,226.02,8,4,8,Summer,Islamabad_Summer,0,90.94416666666666,216.36625,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.7σ)
2021-08-27 09:00:00,Islamabad,116.09,333.66,0.5,7.63,18.6,7.66,547.41,214.58,9,4,8,Summer,Islamabad_Summer,0,91.64791666666667,220.0829166666667,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.3σ)
2021-08-27 10:00:00,Islamabad,114.57,341.85,0.45,8.14,15.14,7.85,514.03,197.41,10,4,8,Summer,Islamabad_Summer,0,92.17083333333336,223.3895833333333,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (-0.0σ)
2021-08-27 11:00:00,Islamabad,111.03,340.35,0.44,9.51,13.83,8.11,500.68,173.09,11,4,8,Summer,Islamabad_Summer,0,92.415,225.94375,Unhealthy,train,1,dust_storm,0.022,PM10/PM2.5 ratio: 3.1
2021-08-27 12:00:00,Islamabad,105.98,331.48,0.37,12.68,14.19,8.49,514.03,147.34,12,4,8,Summer,Islamabad_Summer,0,92.40875,227.8454166666667,Unhealthy,train,1,dust_storm,0.043,PM10/PM2.5 ratio: 3.1
2021-08-27 13:00:00,Islamabad,104.82,325.06,0.24,30.16,17.17,10.01,774.38,113.01,13,4,8,Summer,Islamabad_Summer,0,92.39916666666667,229.59375,Unhealthy,train,1,dust_storm,0.034,PM10/PM2.5 ratio: 3.1
2021-08-27 14:00:00,Islamabad,108.12,323.55,0.02,50.04,19.79,12.67,1188.28,84.4,14,4,8,Summer,Islamabad_Summer,0,92.61375,231.5125,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.4σ)
2021-08-27 15:00:00,Islamabad,112.4,319.17,0.0,49.35,16.45,14.69,1321.79,80.82,15,4,8,Summer,Islamabad_Summer,0,93.0725,233.4575,Unhealthy,train,1,unclassified,0.0,Highest z-score: SO2 (0.1σ)
2021-09-02 02:00:00,Islamabad,142.53,186.65,119.81,74.03,22.89,119.57,5073.55,0.69,2,3,9,Summer,Islamabad_Summer,0,86.1325,108.995,Unhealthy,train,1,general_smog,0.345,Fine-particle smog (PM10/PM2.5=1.3); PM2.5=143 µg/m³
2021-09-02 03:00:00,Islamabad,166.34,210.74,198.48,81.57,22.89,95.25,7049.56,3.49,3,3,9,Summer,Islamabad_Summer,0,89.94625,113.88791666666668,Hazardous,train,1,crop_burning,0.291,High NH₃ (3.1σ) + CO (2.1σ)
2021-09-06 17:00:00,Islamabad,231.81,269.65,180.6,222.09,27.18,71.94,9719.85,0.0,17,0,9,Summer,Islamabad_Summer,0,115.10458333333332,131.02,Hazardous,train,1,mixed,0.406,High NH₃ (2.1σ) + CO (3.3σ); High NO (2.9σ) + NO₂ (2.7σ)
2021-09-06 18:00:00,Islamabad,241.69,281.19,177.03,200.15,21.22,60.29,9613.04,0.0,18,0,9,Summer,Islamabad_Summer,0,116.87125,133.11458333333334,Hazardous,train,1,mixed,0.312,High NH₃ (1.6σ) + CO (3.2σ); High NO (2.9σ) + NO₂ (2.3σ)
2021-09-06 19:00:00,Islamabad,216.17,250.72,137.69,163.14,13.83,42.56,8117.68,0.0,19,0,9,Summer,Islamabad_Summer,0,118.15291666666668,134.53,Hazardous,train,1,vehicular,0.171,High NO (2.1σ) + NO₂ (1.7σ)
2021-09-12 22:00:00,Islamabad,163.83,183.15,141.26,117.9,25.75,101.33,7263.18,0.0,22,6,9,Summer,Islamabad_Summer,1,60.400000000000006,71.15958333333333,Hazardous,train,1,crop_burning,0.322,High NH₃ (3.3σ) + CO (2.2σ)
2021-09-12 23:00:00,Islamabad,163.67,182.77,103.71,106.93,22.89,97.28,6088.26,0.0,23,6,9,Summer,Islamabad_Summer,1,66.23916666666666,77.40625,Hazardous,train,1,crop_burning,0.149,High NH₃ (3.2σ) + CO (1.6σ)
2021-09-13 00:00:00,Islamabad,164.65,184.21,81.36,95.96,20.03,92.21,5287.17,0.0,0,0,9,Summer,Islamabad_Summer,0,72.04,83.62458333333333,Hazardous,train,1,crop_burning,0.031,High NH₃ (2.9σ) + CO (1.3σ)
2021-09-13 01:00:00,Islamabad,163.81,185.23,72.42,78.14,14.19,61.3,4806.52,0.0,1,0,9,Summer,Islamabad_Summer,0,77.72041666666667,89.77041666666668,Hazardous,train,1,general_smog,0.435,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=164 µg/m³
2021-09-13 02:00:00,Islamabad,171.35,196.03,99.24,61.69,10.61,31.67,5233.76,0.48,2,0,9,Summer,Islamabad_Summer,0,83.31625000000001,95.85625,Hazardous,train,1,general_smog,0.428,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=171 µg/m³
2021-09-13 03:00:00,Islamabad,190.31,218.01,159.14,61.69,10.61,21.53,6568.91,3.09,3,0,9,Summer,Islamabad_Summer,0,89.02583333333332,102.04083333333334,Hazardous,train,1,general_smog,0.427,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=190 µg/m³
2021-09-13 16:00:00,Islamabad,220.38,252.09,264.65,337.24,63.9,123.62,12069.7,0.0,16,0,9,Summer,Islamabad_Summer,0,115.46625,130.3675,Hazardous,train,1,mixed,0.857,High SO₂ (4.5σ); High NH₃ (4.2σ) + CO (4.3σ); High NO (4.5σ) + NO₂ (4.6σ)
2021-09-13 17:00:00,Islamabad,266.32,307.35,282.53,367.4,69.62,147.94,13351.44,0.0,17,0,9,Summer,Islamabad_Summer,0,121.67916666666667,137.26166666666666,Hazardous,train,1,mixed,0.856,High SO₂ (5.1σ); High NH₃ (5.2σ) + CO (4.9σ); High NO (4.9σ) + NO₂ (5.1σ)
2021-09-13 18:00:00,Islamabad,284.03,332.04,271.8,342.73,64.85,158.07,12924.19,0.0,18,0,9,Summer,Islamabad_Summer,0,127.72625,144.26125000000002,Hazardous,train,1,mixed,0.854,High SO₂ (4.6σ); High NH₃ (5.7σ) + CO (4.7σ); High NO (4.7σ) + NO₂ (4.7σ)
2021-09-13 19:00:00,Islamabad,271.56,321.9,239.61,263.21,42.92,114.5,11215.21,0.0,19,0,9,Summer,Islamabad_Summer,0,133.04291666666668,150.75375,Hazardous,train,1,mixed,0.619,High SO₂ (2.6σ); High NH₃ (3.9σ) + CO (3.9σ); High NO (4.1σ) + NO₂ (3.4σ)
2021-09-13 20:00:00,Islamabad,230.66,279.13,177.03,171.36,18.84,45.09,8651.73,0.0,20,0,9,Summer,Islamabad_Summer,0,136.38166666666666,155.2875,Hazardous,train,1,vehicular,0.216,High NO (2.9σ) + NO₂ (1.8σ)
2021-09-13 21:00:00,Islamabad,171.06,212.06,95.67,100.08,7.63,17.48,5607.61,0.0,21,0,9,Summer,Islamabad_Summer,0,136.82208333333332,156.62125,Hazardous,train,1,general_smog,0.38,Fine-particle smog (PM10/PM2.5=1.2); PM2.5=171 µg/m³
2021-09-18 16:00:00,Islamabad,215.27,243.76,150.2,268.7,45.3,98.29,8865.36,0.0,16,5,9,Summer,Islamabad_Summer,1,95.30208333333331,105.35041666666666,Hazardous,train,1,mixed,0.476,High SO₂ (2.8σ); High NH₃ (3.2σ) + CO (2.9σ); High NO (2.3σ) + NO₂ (3.5σ)
2021-09-18 17:00:00,Islamabad,241.22,275.66,151.99,260.47,43.87,109.43,9292.6,0.0,17,5,9,Summer,Islamabad_Summer,1,101.90125,112.72041666666668,Hazardous,train,1,mixed,0.482,High SO₂ (2.7σ); High NH₃ (3.7σ) + CO (3.1σ); High NO (2.4σ) + NO₂ (3.3σ)
2021-09-18 18:00:00,Islamabad,243.34,281.87,135.9,219.35,35.29,101.33,8544.92,0.0,18,5,9,Summer,Islamabad_Summer,1,108.59708333333332,120.32958333333336,Hazardous,train,1,mixed,0.361,High SO₂ (1.9σ); High NH₃ (3.3σ) + CO (2.7σ); High NO (2.1σ) + NO₂ (2.6σ)
2021-09-18 19:00:00,Islamabad,214.93,251.9,104.61,149.43,16.93,45.6,6782.53,0.0,19,5,9,Summer,Islamabad_Summer,1,114.23958333333331,126.87458333333336,Hazardous,train,1,vehicular,0.089,High NO (1.5σ) + NO₂ (1.5σ)
2021-09-19 17:00:00,Islamabad,211.58,245.54,159.14,238.54,37.67,96.26,8972.17,0.0,17,6,9,Summer,Islamabad_Summer,1,117.09083333333332,132.0533333333333,Hazardous,train,1,mixed,0.432,High SO₂ (2.1σ); High NH₃ (3.1σ) + CO (2.9σ); High NO (2.5σ) + NO₂ (3.0σ)
2021-09-20 16:00:00,Islamabad,218.38,246.27,143.05,186.44,20.74,47.12,8010.86,0.0,16,0,9,Summer,Islamabad_Summer,0,110.25458333333334,122.48166666666668,Hazardous,train,1,vehicular,0.299,High NO (2.2σ) + NO₂ (2.1σ)
2021-09-20 17:00:00,Islamabad,249.15,284.1,178.81,180.96,24.8,66.88,8972.17,0.0,17,0,9,Summer,Islamabad_Summer,0,111.82,124.08833333333332,Hazardous,train,1,mixed,0.311,High NH₃ (1.9σ) + CO (2.9σ); High NO (2.9σ) + NO₂ (2.0σ)
2021-09-20 18:00:00,Islamabad,273.57,315.11,207.42,180.96,28.13,86.13,9826.66,0.0,18,0,9,Summer,Islamabad_Summer,0,114.56208333333332,127.055,Hazardous,train,1,mixed,0.397,High NH₃ (2.7σ) + CO (3.3σ); High NO (3.4σ) + NO₂ (2.0σ)
2021-09-20 19:00:00,Islamabad,278.48,323.32,216.37,175.48,28.37,96.26,10040.28,0.0,19,0,9,Summer,Islamabad_Summer,0,119.43041666666666,132.705,Hazardous,train,1,mixed,0.326,High SO₂ (1.2σ); High NH₃ (3.1σ) + CO (3.4σ); High NO (3.6σ) + NO₂ (1.9σ)
2021-09-20 20:00:00,Islamabad,273.68,320.35,207.42,150.8,21.7,77.01,9719.85,0.0,20,0,9,Summer,Islamabad_Summer,0,125.91791666666668,140.3575,Hazardous,train,1,mixed,0.297,High NH₃ (2.3σ) + CO (3.3σ); High NO (3.4σ) + NO₂ (1.5σ)
2021-09-20 21:00:00,Islamabad,241.19,284.04,164.51,109.67,11.8,35.47,8117.68,0.0,21,0,9,Summer,Islamabad_Summer,0,132.00708333333333,147.66333333333333,Hazardous,train,1,general_smog,0.411,Fine-particle smog (PM10/PM2.5=1.2); PM2.5=241 µg/m³
2021-09-21 16:00:00,Islamabad,231.72,260.52,236.03,271.44,69.62,99.3,11535.65,0.0,16,1,9,Summer,Islamabad_Summer,0,126.95541666666666,142.53416666666666,Hazardous,train,1,mixed,0.722,High SO₂ (5.1σ); High NH₃ (3.2σ) + CO (4.1σ); High NO (4.0σ) + NO₂ (3.5σ)
2021-09-21 17:00:00,Islamabad,280.66,315.76,282.53,301.6,75.34,129.7,13671.88,0.0,17,1,9,Summer,Islamabad_Summer,0,128.26833333333337,143.85333333333335,Hazardous,train,1,mixed,0.843,High SO₂ (5.6σ); High NH₃ (4.5σ) + CO (5.0σ); High NO (4.9σ) + NO₂ (4.0σ)
2021-09-21 18:00:00,Islamabad,322.64,362.42,303.98,337.24,77.25,156.04,15167.24,0.0,18,1,9,Summer,Islamabad_Summer,0,130.31291666666667,145.82458333333332,Hazardous,train,1,mixed,0.86,High SO₂ (5.8σ); High NH₃ (5.6σ) + CO (5.7σ); High NO (5.3σ) + NO₂ (4.6σ)
2021-09-21 19:00:00,Islamabad,339.96,379.26,303.98,350.95,74.39,164.15,15380.86,0.0,19,1,9,Summer,Islamabad_Summer,0,132.87458333333333,148.15541666666667,Hazardous,train,1,mixed,0.861,High SO₂ (5.5σ); High NH₃ (5.9σ) + CO (5.8σ); High NO (5.3σ) + NO₂ (4.8σ)
2021-09-21 20:00:00,Islamabad,336.78,373.72,278.95,334.5,65.8,156.04,14312.74,0.0,20,1,9,Summer,Islamabad_Summer,0,135.50375,150.37916666666666,Hazardous,train,1,mixed,0.861,High SO₂ (4.7σ); High NH₃ (5.6σ) + CO (5.3σ); High NO (4.8σ) + NO₂ (4.5σ)
2021-09-21 21:00:00,Islamabad,317.75,351.37,228.88,279.67,49.11,120.58,12390.14,0.0,21,1,9,Summer,Islamabad_Summer,0,138.69375,153.18458333333334,Hazardous,train,1,mixed,0.721,High SO₂ (3.2σ); High NH₃ (4.1σ) + CO (4.4σ); High NO (3.9σ) + NO₂ (3.6σ)
2021-09-21 22:00:00,Islamabad,270.62,292.27,135.9,194.67,27.18,42.56,9292.6,0.0,22,1,9,Summer,Islamabad_Summer,0,143.11666666666667,157.55166666666668,Hazardous,train,1,vehicular,0.289,High NO (2.1σ) + NO₂ (2.2σ)
2021-09-21 23:00:00,Islamabad,226.93,242.66,82.25,148.06,18.6,19.76,7263.18,0.0,23,1,9,Summer,Islamabad_Summer,0,147.78666666666666,162.27916666666667,Hazardous,train,1,general_smog,0.465,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=227 µg/m³
2021-09-22 00:00:00,Islamabad,175.16,188.47,51.41,115.16,14.31,13.68,5661.01,0.0,0,2,9,Summer,Islamabad_Summer,0,151.685,166.44791666666666,Hazardous,train,1,general_smog,0.462,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=175 µg/m³
2021-09-22 01:00:00,Islamabad,104.52,114.39,18.33,78.14,11.68,10.39,3417.97,0.03,1,2,9,Summer,Islamabad_Summer,0,153.85,168.93458333333334,Unhealthy,train,1,general_smog,0.453,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=105 µg/m³
2021-09-22 02:00:00,Islamabad,89.19,98.83,14.98,63.75,12.28,10.64,2857.21,1.01,2,2,9,Summer,Islamabad_Summer,0,155.61541666666668,171.00875,Moderate,train,1,general_smog,0.446,Fine-particle smog (PM10/PM2.5=1.1); PM2.5=89 µg/m³
