city,timestamp,pm25_predicted,pm25_lower,pm25_upper,alert_level
Islamabad,2026-06-03 16:00:00,107.4,12.1,202.7,ORANGE
Islamabad,2026-06-03 17:00:00,119.1,20.4,217.8,ORANGE
Islamabad,2026-06-03 18:00:00,115.8,11.2,220.3,ORANGE
Islamabad,2026-06-03 19:00:00,101.3,0.6,201.9,ORANGE
Islamabad,2026-06-03 20:00:00,84.0,29.4,185.0,YELLOW
Islamabad,2026-06-03 21:00:00,70.1,24.5,165.7,YELLOW
Islamabad,2026-06-03 22:00:00,60.0,21.0,164.8,YELLOW
Islamabad,2026-06-03 23:00:00,51.3,17.9,155.0,YELLOW
Islamabad,2026-06-04 00:00:00,43.6,15.3,146.3,GREEN
Islamabad,2026-06-04 01:00:00,41.2,14.4,145.4,GREEN
Islamabad,2026-06-04 02:00:00,47.5,16.6,151.5,GREEN
Islamabad,2026-06-04 03:00:00,60.1,21.0,160.6,YELLOW
Islamabad,2026-06-04 04:00:00,69.3,24.3,172.1,YELLOW
Islamabad,2026-06-04 05:00:00,65.0,22.7,169.5,YELLOW
Islamabad,2026-06-04 06:00:00,45.0,15.7,148.7,GREEN
Islamabad,2026-06-04 07:00:00,18.0,6.3,117.4,GREEN
Islamabad,2026-06-04 08:00:00,0.0,0.0,102.8,GREEN
Islamabad,2026-06-04 09:00:00,0.0,0.0,98.4,GREEN
Islamabad,2026-06-04 10:00:00,0.8,0.3,102.4,GREEN
Islamabad,2026-06-04 11:00:00,15.6,5.5,122.0,GREEN
Islamabad,2026-06-04 12:00:00,30.6,10.7,136.9,GREEN
Islamabad,2026-06-04 13:00:00,46.2,16.2,145.9,GREEN
Islamabad,2026-06-04 14:00:00,65.9,23.1,168.5,YELLOW
Islamabad,2026-06-04 15:00:00,89.8,31.4,193.8,YELLOW
Karachi,2026-06-03 16:00:00,12.1,4.2,145.9,GREEN
Karachi,2026-06-03 17:00:00,23.3,8.2,149.8,GREEN
Karachi,2026-06-03 18:00:00,28.0,9.8,154.0,GREEN
Karachi,2026-06-03 19:00:00,25.5,8.9,154.4,GREEN
Karachi,2026-06-03 20:00:00,18.6,6.5,149.6,GREEN
Karachi,2026-06-03 21:00:00,10.9,3.8,143.8,GREEN
Karachi,2026-06-03 22:00:00,4.0,1.4,124.5,GREEN
Karachi,2026-06-03 23:00:00,0.0,0.0,127.6,GREEN
Karachi,2026-06-04 00:00:00,0.0,0.0,130.5,GREEN
Karachi,2026-06-04 01:00:00,0.0,0.0,126.2,GREEN
Karachi,2026-06-04 02:00:00,12.1,4.2,140.8,GREEN
Karachi,2026-06-04 03:00:00,30.3,10.6,158.7,GREEN
Karachi,2026-06-04 04:00:00,48.0,16.8,174.2,GREEN
Karachi,2026-06-04 05:00:00,58.5,20.5,189.0,YELLOW
Karachi,2026-06-04 06:00:00,59.0,20.6,186.6,YELLOW
Karachi,2026-06-04 07:00:00,52.5,18.4,179.1,YELLOW
Karachi,2026-06-04 08:00:00,44.4,15.5,178.0,GREEN
Karachi,2026-06-04 09:00:00,37.6,13.2,166.6,GREEN
Karachi,2026-06-04 10:00:00,31.1,10.9,157.3,GREEN
Karachi,2026-06-04 11:00:00,22.0,7.7,153.3,GREEN
Karachi,2026-06-04 12:00:00,10.3,3.6,142.8,GREEN
Karachi,2026-06-04 13:00:00,0.3,0.1,123.3,GREEN
Karachi,2026-06-04 14:00:00,0.0,0.0,126.4,GREEN
Karachi,2026-06-04 15:00:00,4.0,1.4,137.5,GREEN
Lahore,2026-06-03 16:00:00,144.6,50.6,324.3,ORANGE
Lahore,2026-06-03 17:00:00,158.0,55.3,338.9,RED
Lahore,2026-06-03 18:00:00,151.2,52.9,325.2,RED
Lahore,2026-06-03 19:00:00,129.5,45.3,313.6,ORANGE
Lahore,2026-06-03 20:00:00,105.7,37.0,289.4,ORANGE
Lahore,2026-06-03 21:00:00,89.8,31.4,272.0,YELLOW
Lahore,2026-06-03 22:00:00,82.5,28.9,260.0,YELLOW
Lahore,2026-06-03 23:00:00,78.0,27.3,259.4,YELLOW
Lahore,2026-06-04 00:00:00,73.4,25.7,249.3,YELLOW
Lahore,2026-06-04 01:00:00,73.4,25.7,253.5,YELLOW
Lahore,2026-06-04 02:00:00,84.5,29.6,259.7,YELLOW
Lahore,2026-06-04 03:00:00,105.3,36.8,283.4,ORANGE
Lahore,2026-06-04 04:00:00,122.7,42.9,299.8,ORANGE
